rank,age,player_name,gamertag,num_frst,num_scnd,num_thrd,num_top3,earnings,earnings_per_top3,log_earnings,is_outlier
1588,19,Bogdan Kostyakov,KasiPosHa,3,5,4,12,1177,98,7.071573364211532,False
1589,25,,Eleganz,1,0,1,2,1175,588,7.069874128458572,False
1590,25,,Highest,5,2,2,9,1173,130,7.068172000388042,False
1591,26,Raul Macias Hernandez,ScR,1,0,1,2,1172,586,7.067319848653476,False
1592,25,,Cheeseboss,5,2,2,9,1169,130,7.064759027791802,False
1593,22,Wood Tam,Neon,0,0,0,0,1167,0,7.0630481633881725,False
1594,25,Cristobal Brito,Britinzera,1,2,0,3,1167,389,7.0630481633881725,False
1595,25,,Hijack,0,0,0,0,1167,0,7.0630481633881725,False
1596,25,,Scheingg,1,2,0,3,1167,389,7.0630481633881725,False
1597,25,,owo,0,0,0,0,1167,0,7.0630481633881725,False
1598,25,,Neo,1,5,2,8,1165,146,7.061334366910438,False
1599,26,Robert Rečić,Judge,3,3,1,7,1164,166,7.060476365999801,False
1600,25,,barol,0,0,3,3,1162,387,7.0587581525186645,False
1601,25,,Malachi,0,0,1,1,1158,1158,7.055312843339752,False
1602,25,,Rock,0,0,1,1,1157,1157,7.05444965813294,False
1603,25,,BiRD,2,0,0,2,1150,575,7.048386408721883,False
1604,25,,Nid9y,0,1,0,1,1143,1143,7.042286171939743,False
1605,27,Brandon Doemges,Xoogle,1,4,2,7,1143,163,7.042286171939743,False
1606,25,,Objective,0,1,0,1,1143,1143,7.042286171939743,False
1607,25,,Etoiles,1,6,1,8,1143,143,7.042286171939743,False
1608,25,,Lunchbox,0,1,2,3,1140,380,7.039660349862076,False
1609,25,,QuarTurner,4,4,2,10,1135,114,7.035268599281097,False
1610,27,Dariusz Rocławski,Typerek,1,1,3,5,1124,225,7.025538314638521,False
1611,29,Suphawit Kasemsirisopha,nanoKidz,1,1,2,4,1122,280,7.023758954738443,False
1612,20,Patrick B.,p13,6,1,2,9,1122,125,7.023758954738443,False
1613,25,,ELOA,0,2,5,7,1117,160,7.0192966537150445,False
1614,25,,Harry,0,0,0,0,1100,0,7.00397413672268,False
1615,25,,Supremisis,1,0,0,1,1099,1099,7.003065458786462,False
1616,24,Bruna Quini,Maligna,0,0,4,4,1097,274,7.001245622069476,False
1617,29,Laurie Lagier,Lyloun,0,1,0,1,1093,1093,6.9975959829819265,False
1618,25,,Skedar,0,1,1,2,1089,544,6.993932975223189,False
1619,25,,VINCI,0,0,2,2,1088,544,6.9930151229329605,False
1620,25,,KunT444L,0,0,2,2,1087,544,6.992096427415888,False
1621,25,,Dano,12,2,0,14,1087,78,6.992096427415888,False
1622,21,Mert Turgut,Swisswga,3,3,4,10,1078,108,6.983789965258135,False
1623,26,Steve Desjardins,NoG,1,0,1,2,1075,538,6.98100574072173,False
1624,25,,Bev,0,1,3,4,1074,268,6.980075940561763,False
