#,age,Name,Player,Achievements,Unnamed: 3,Unnamed: 4,Unnamed: 5,Earnings
293,,,Zoldyck,,8,2,1,"$33,489"
294,23.0,Luigi Ferrigno,Gemini,,0,2,2,"$33,469"
295,21.0,Jaidan Franz,Packer,,7,3,5,"$33,219"
296,24.0,Léo Robine,Alphama,,4,2,1,"$32,923"
297,23.0,Willian da Costa Gonçalves,Stk,,3,1,6,"$32,790"
298,,,Robby,,6,1,0,"$32,710"
299,30.0,Shinji Funai,ShiN,,8,3,3,"$32,707"
300,22.0,Jigen Akaiwa,Kawa,,1,4,2,"$32,380"
301,24.0,Yuuya Okazaki,Aokayu,,1,4,2,"$32,380"
302,,,SkMzY,,6,5,2,"$32,272"
303,21.0,Phuriphat Kessaneeyabut,MrPuncH,,10,4,2,"$32,146"
304,24.0,Kazuki Yamane,Lily,,0,4,8,"$31,854"
305,,,Phish,,1,1,3,"$31,747"
306,,,Diesel,,5,2,0,"$31,287"
307,19.0,Elian Rodriguez,Kobelax,,5,1,1,"$31,233"
308,23.0,Callum Humphreys,Neonical,,3,3,4,"$31,073"
309,30.0,Martin Eberhard,Spark,,3,9,3,"$30,653"
310,25.0,Oscar Sepúlveda,Toski,,8,3,0,"$30,500"
311,22.0,Oscar Deacon,Oscr,,2,5,3,"$30,438"
312,,,Azzr,,5,2,0,"$30,349"
313,25.0,Naoki Kobayashi,Afro,,7,2,3,"$30,058"
314,,,Juicy,,6,6,8,"$29,391"
315,,,Y4zan,,0,4,1,"$29,124"
316,22.0,Wu Chih-ying,Jackywu,,3,3,4,"$29,068"
317,31.0,Otto Heikkinen,pannari,,4,3,2,"$29,025"
318,,,SkyGuardian,,1,3,2,"$28,984"
319,,,Jsh,,6,5,8,"$28,745"
320,27.0,Terrell Lee,England,,1,5,3,"$28,544"
321,,,Snake,,6,8,4,"$28,519"
322,24.0,Xavier Avoine,Eskaa,,3,2,1,"$28,486"
323,,,HealthcareOG,,6,11,5,"$28,416"
324,26.0,Hayade Tsuda,febar,,3,5,0,"$28,339"
325,22.0,Keagen Smith,P3NGU1N,,3,1,0,"$28,315"
326,22.0,Pirapat Pimthanapoonporn,AnGryX,,14,5,4,"$28,242"
327,26.0,Bryan Agema,Bryan,,1,1,6,"$28,182"
328,19.0,Roberto Camargo,Loira,,0,0,1,"$27,886"
329,,,Morphed,,10,4,1,"$27,875"
330,21.0,Iván Campa Paredes,Ivan,,8,2,1,"$27,853"
331,27.0,Daniel An,NeophyteR,,3,1,2,"$27,600"
332,21.0,Noah Rodriguez Urwitz,NoaUrz,,2,2,1,"$27,420"
333,22.0,Matthew Macway,Dpfire,,2,3,0,"$27,377"
334,25.0,Taku Murakami,No2,,4,1,1,"$27,166"
335,,,F44az,,0,1,3,"$27,159"
336,,,GdNN1,,2,4,4,"$26,691"
337,20.0,Reece Lambert,ASTRO,,6,5,5,"$26,682"
338,33.0,Taylor Mayeur,Redeemer,,1,1,2,"$26,592"
339,,,Kixhro,,6,5,3,"$26,573"
340,26.0,Taiga Katagari,Taipon,,7,2,3,"$26,386"
341,,,Jarvis,,4,1,4,"$26,329"
